dataset,doi,journal ,title,url
dataset-026,10.1016/j.jneb.2017.06.002,Journal of Nutrition Education and Behavior,SNAP-Based Incentive Programs at Farmers' Markets: Adaptation Considerations for Temporary Assistance for Needy Families (TANF) Recipients,www.doi.org/10.1016/j.jneb.2017.06.002
dataset-026,10.1016/j.ypmed.2018.03.015,Preventive Medicine,Where do U.S. households purchase healthy foods? An analysis of food-at-home purchases across different types of retailers in a nationally representative dataset,www.doi.org/10.1016/j.ypmed.2018.03.015
dataset-026,10.1016/j.amepre.2017.10.005,American Journal of Preventive Medicine,Doubling Up on Produce at Detroit Farmers Markets: Patterns and Correlates of Use of a Healthy Food Incentive,www.doi.org/10.1016/j.amepre.2017.10.005
dataset-026,10.1377/hlthaff.2018.05265,Health Affairs,Loss Of SNAP Is Associated With Food Insecurity And Poor Health In Working Families With Young Children,www.doi.org/10.1377/hlthaff.2018.05265
dataset-026,10.1016/j.jneb.2014.12.008,Journal of Nutrition Education and Behavior,Farmers' Markets and the Local Food Environment: Identifying Perceived Accessibility Barriers for SNAP Consumers Receiving Temporary Assistance for Needy Families (TANF) in an Urban Oklahoma Community,www.doi.org/10.1016/j.jneb.2014.12.008
dataset-026,10.1016/j.amepre.2018.11.010,American Journal of Preventive Medicine,Facilitators and Barriers to Supplemental Nutrition Assistance Program Incentive Use: Findings From a Clinic Intervention for Low-Income Patients,www.doi.org/10.1016/j.amepre.2018.11.010
dataset-026,10.1017/s1368980018000101,Public Health Nutrition,"Barriers to fruit and vegetable consumption among farmers: market incentive programme users in Illinois, USA",www.doi.org/10.1017/s1368980018000101
dataset-026,10.1377/hlthaff.2009.0731,Health Affairs,Federal Food Policy And Childhood Obesity: A Solution Or Part Of The Problem?,www.doi.org/10.1377/hlthaff.2009.0731
dataset-026,10.1016/j.jneb.2019.01.019,Journal of Nutrition Education and Behavior,Hunger or Deportation: Implications of the Trump Administration's Proposed Public Charge Rule,www.doi.org/10.1016/j.jneb.2019.01.019
dataset-026,10.1017/s1368980016003153,Public Health Nutrition,Supplemental Nutrition Assistance Progam benefits and emergency room visits for hypoglycaemia,www.doi.org/10.1017/s1368980016003153
dataset-026,10.3390/ijerph14101197,International Journal of Environmental Research and Public Health,Predicting Child Protective Services (CPS) Involvement among Low-Income U.S. Families with Young Children Receiving Nutritional Assistance,www.doi.org/10.3390/ijerph14101197
dataset-026,10.1037/cdp0000240,Cultural Diversity & Ethnic Minority Psychology,Mental health treatment and work among African American and Caribbean Black welfare recipients.,www.doi.org/10.1037/cdp0000240
dataset-026,10.1016/j.chiabu.2019.02.004,Child Abuse & Neglect,County-level socioeconomic and crime risk factors for substantiated child abuse and neglect,www.doi.org/10.1016/j.chiabu.2019.02.004
dataset-026,10.1542/peds.2013-2823,Pediatrics,Supplemental Nutrition Assistance Program Participation and Child Food Security,www.doi.org/10.1542/peds.2013-2823
dataset-026,10.1044/2017_lshss-16-0072,Language Speech and Hearing Services in Schools,"Population Estimates, Health Care Characteristics, and Material Hardship Experiences of U.S. Children With Parent-Reported Speech-Language Difficulties: Evidence From Three Nationally Representative Surveys",www.doi.org/10.1044/2017_lshss-16-0072
dataset-026,10.1016/j.amepre.2016.08.023,American Journal of Preventive Medicine,Rebates to Incentivize Healthy Nutrition Choices in the Supplemental Nutrition Assistance Program,www.doi.org/10.1016/j.amepre.2016.08.023
dataset-026,10.1016/j.socscimed.2017.09.020,Social Science & Medicine,Re-evaluating associations between the Supplemental Nutrition Assistance Program participation and body mass index in the context of unmeasured confounders,www.doi.org/10.1016/j.socscimed.2017.09.020
dataset-026,10.1016/j.socscimed.2018.11.001,Social Science & Medicine,SNAP benefits and childhood asthma,www.doi.org/10.1016/j.socscimed.2018.11.001
dataset-026,10.1097/mlr.0000000000001024,Medical Care,Identification of Cross-sector Service Utilization Patterns Among Urban Medicaid Expansion Enrollees,www.doi.org/10.1097/mlr.0000000000001024
dataset-026,10.1016/j.ssmph.2019.100393,SSM - Population Health,Food and financial coping strategies during the monthly Supplemental Nutrition Assistance Program cycle,www.doi.org/10.1016/j.ssmph.2019.100393
dataset-026,10.1016/j.jand.2017.01.008,Journal of the Academy of Nutrition and Dietetics,Low-Income Urban Mothers' Experiences with the Supplemental Nutrition Assistance Program,www.doi.org/10.1016/j.jand.2017.01.008
dataset-026,10.3945/an.112.003244,Advances in Nutrition,Food Insecurity Is an Ongoing National Concern,www.doi.org/10.3945/an.112.003244
dataset-026,10.1080/19320248.2014.962780,Journal of Hunger & Environmental Nutrition,The Relationship Between Obesity and Participation in the Supplemental Nutrition Assistance Program (SNAP): Is Mental Health a Mediator?,www.doi.org/10.1080/19320248.2014.962780
dataset-026,10.1002/nur.21943,Research in Nursing & Health,Predictors of psychological distress in low-income mothers over the first postpartum year,www.doi.org/10.1002/nur.21943
dataset-026,10.1089/heq.2016.0023,Health Equity,Examining Material Hardship in Mothers: Associations of Diaper Need and Food Insufficiency with Maternal Depressive Symptoms,www.doi.org/10.1089/heq.2016.0023
dataset-026,10.1037/ort0000318,American Journal of Orthopsychiatry,Paid sick leave status in relation to government sponsored welfare utilization.,www.doi.org/10.1037/ort0000318
dataset-026,10.1016/j.acap.2015.02.010,Academic Pediatrics,Spotlight on Express Lane Eligibility (ELE): A Tool to Improve Enrollment and Renewal,www.doi.org/10.1016/j.acap.2015.02.010
dataset-026,10.1017/s1368980010002090,Public Health Nutrition,Is participation in food and income assistance programmes associated with obesity in California adults? Results from a state-wide survey,www.doi.org/10.1017/s1368980010002090
dataset-026,10.1146/annurev-publhealth-040218-044132,Annual Review of Public Health,Aligning Programs and Policies to Support Food Security and Public Health Goals in the United States,www.doi.org/10.1146/annurev-publhealth-040218-044132
dataset-026,10.1016/j.acap.2014.10.002,Academic Pediatrics,Influence of Maternal Depression on Household Food Insecurity for Low-Income Families,www.doi.org/10.1016/j.acap.2014.10.002
dataset-026,10.1007/s13524-017-0642-7,Demography,The Changing Safety Net for Low-Income Parents and Their Children: Structural or Cyclical Changes in Income Support Policy?,www.doi.org/10.1007/s13524-017-0642-7
dataset-026,10.1177/1524839917715438,Health Promotion Practice,Understanding the Experiences of Low-Income Individuals Receiving Farmers' Market Incentives in the United States: A Qualitative Study,www.doi.org/10.1177/1524839917715438
dataset-026,10.1017/s1368980016000033,Public Health Nutrition,Accessibility of summer meals and the food insecurity of low-income households with children,www.doi.org/10.1017/s1368980016000033
dataset-026,10.1007/s10567-017-0228-3,Clinical Child and Family Psychology Review,A Framework for Valuing Investments in a Nurturing Society: Opportunities for Prevention Research,www.doi.org/10.1007/s10567-017-0228-3
dataset-026,10.1016/j.jand.2012.03.033,Journal of the Academy of Nutrition and Dietetics,Effect of the Supplemental Nutrition Assistance Program (SNAP) on Frequency of Beverage Consumption among Youth in the United States,www.doi.org/10.1016/j.jand.2012.03.033
dataset-026,10.1089/big.2015.0014,Big Data,"Diets and Health: How Food Decisions Are Shaped by Biology, Economics, Geography, and Social Interactions",www.doi.org/10.1089/big.2015.0014
dataset-026,10.1017/s1368980011002709,Public Health Nutrition,How much does the Supplemental Nutrition Assistance Program alleviate food insecurity? Evidence from recent programme leavers,www.doi.org/10.1017/s1368980011002709
dataset-026,10.1007/s10995-013-1348-0,Maternal and Child Health Journal,The Influence of Maternal Health Literacy and Child's Age on Participation in Social Welfare Programs,www.doi.org/10.1007/s10995-013-1348-0
dataset-026,10.1080/03630242.2015.1022814,Women & Health,"The Effects of Collateral Consequences of Criminal Involvement on Employment, Use of Temporary Assistance for Needy Families, and Health",www.doi.org/10.1080/03630242.2015.1022814
dataset-026,10.3945/an.113.004630,Advances in Nutrition,SNAP Benefits: Can an Adequate Benefit Be Defined?,www.doi.org/10.3945/an.113.004630
dataset-026,10.3945/jn.114.198697,Journal of Nutrition,Supplemental Nutrition Assistance Program Participation Is Associated with an Increase in Household Food Security in a National Evaluation,www.doi.org/10.3945/jn.114.198697
dataset-026,10.1007/s10567-017-0225-6,Clinical Child and Family Psychology Review,Family Economic Security Policies and Child and Family Health,www.doi.org/10.1007/s10567-017-0225-6
dataset-026,10.1016/j.jneb.2017.03.010,Journal of Nutrition Education and Behavior,Examining Internet Access and Social Media Application Use for Online Nutrition Education in¬†SNAP-Ed Participants in Rural Illinois,www.doi.org/10.1016/j.jneb.2017.03.010
dataset-026,10.1186/s12889-016-3233-4,BMC Public Health,The Building Wealth and Health Network: methods and baseline characteristics from a randomized controlled trial for families with young children participating in temporary assistance for needy families (TANF),www.doi.org/10.1186/s12889-016-3233-4
dataset-026,10.1371/journal.pone.0215327,PLoS ONE,Restrictive state laws aimed at immigrants: Effects on enrollment in the food stamp program by U.S. citizen children in immigrant families,www.doi.org/10.1371/journal.pone.0215327
dataset-026,10.1377/hlthaff.2015.0645,Health Affairs,Food Insecurity And Health Outcomes,www.doi.org/10.1377/hlthaff.2015.0645
dataset-026,10.1080/19320248.2016.1157550,Journal of Hunger & Environmental Nutrition,"Perceived Barriers and Facilitators of Farm-to-Consumer Retail Outlet Use Among Participants of the Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) in Alabama",www.doi.org/10.1080/19320248.2016.1157550
dataset-026,10.1016/j.jand.2018.02.011,Journal of the Academy of Nutrition and Dietetics,Understanding Customers: The Jobs to Be Done Theory Applied in the Context of a Rural Food Pantry,www.doi.org/10.1016/j.jand.2018.02.011
dataset-026,10.1007/s10903-016-0516-x,Journal of Immigrant and Minority Health,Longitudinal Trajectories of Food Insecurity Among Children of Immigrants,www.doi.org/10.1007/s10903-016-0516-x
dataset-026,10.1016/j.childyouth.2011.12.016,Children and Youth Services Review,Low income families' utilization of the Federal Safety Net: Individual and state-level predictors of TANF and Food Stamp receipt,www.doi.org/10.1016/j.childyouth.2011.12.016
dataset-026,10.1016/j.jneb.2012.06.006,Journal of Nutrition Education and Behavior,Facebook Is an Effective Strategy to Recruit Low-income Women to Online Nutrition Education,www.doi.org/10.1016/j.jneb.2012.06.006
dataset-026,10.1080/19371918.2017.1415181,Social Work in Public Health,Understanding High Incidence of Severe Obesity and Very Low Food Security in Food Pantry Clients: Implications For Social Work,www.doi.org/10.1080/19371918.2017.1415181
dataset-026,10.1080/03670244.2017.1406853,Ecology of Food and Nutrition,Factors Associated with Home Meal Preparation and Fast-Food Sources Use among Low-Income Urban African American Adults,www.doi.org/10.1080/03670244.2017.1406853
dataset-026,10.1002/soej.12081,Southern Economic Journal,Rasch Analyses of Very Low Food Security among Households and Children in the Three City Study,www.doi.org/10.1002/soej.12081
dataset-026,10.1186/s12937-018-0360-z,Nutrition Journal,Nutrient intake disparities in the US: modeling the effect of food substitutions,www.doi.org/10.1186/s12937-018-0360-z
dataset-026,10.1017/s1368980017000088,Public Health Nutrition,Low-income adults' perceptions of farmers' markets and community-supported agriculture programmes,www.doi.org/10.1017/s1368980017000088
dataset-026,10.1097/phh.0000000000000813,Journal of Public Health Management and Practice,Pay to Play? State Laws Related to High School Sports Participation Fees,www.doi.org/10.1097/phh.0000000000000813
dataset-026,10.1080/19320248.2014.962770,Journal of Hunger & Environmental Nutrition,"Cross-Sectional Relationships Between Household Food Insecurity and Child BMI, Feeding Behaviors, and Public Assistance Utilization Among Head Start Children From Predominantly Hispanic and American Indian Communities in the CHILE Study",www.doi.org/10.1080/19320248.2014.962770
dataset-026,10.1542/peds.2014-2832,Pediatrics,Home Foreclosure and Child Protective Services Involvement,www.doi.org/10.1542/peds.2014-2832
dataset-026,10.1377/hlthaff.2017.0991,Health Affairs,Cross-Sector Service Use Among High Health Care Utilizers In Minnesota After Medicaid Expansion,www.doi.org/10.1377/hlthaff.2017.0991
dataset-026,10.3389/fped.2018.00207,Frontiers in Pediatrics,Disparities in Utilization of Social Determinants of Health Referrals Among Children in Immigrant Families,www.doi.org/10.3389/fped.2018.00207
dataset-026,10.5888/pcd11.130324,Preventing Chronic Disease,Objective and Self-Reported Factors Associated With Food-Environment Perceptions and Fruit-And-Vegetable Consumption: A Multilevel Analysis,www.doi.org/10.5888/pcd11.130324
dataset-026,10.1017/s1368980014003036,Public Health Nutrition,The relationship between childhood adversity and food insecurity: like a bird nesting in your head,www.doi.org/10.1017/s1368980014003036
dataset-026,10.5888/pcd10.120206,Preventing Chronic Disease,"A Qualitative Study of Perceived Barriers to Fruit and Vegetable Consumption Among Low-Income Populations, North Carolina, 2011",www.doi.org/10.5888/pcd10.120206
dataset-026,10.1016/j.jand.2018.06.009,Journal of the Academy of Nutrition and Dietetics,Position of the Academy of Nutrition and Dietetics: Child and Adolescent Federally Funded Nutrition Assistance Programs,www.doi.org/10.1016/j.jand.2018.06.009
dataset-026,10.1186/s12966-017-0637-1,International Journal of Behavioral Nutrition and Physical Activity,Cluster randomized controlled trial of a mobile market intervention to increase fruit and vegetable intake among adults in lower-income communities in North Carolina,www.doi.org/10.1186/s12966-017-0637-1
dataset-026,10.1542/peds.2017-2199,Pediatrics,Unstable Housing and Caregiver and Child Health in Renter Families,www.doi.org/10.1542/peds.2017-2199
dataset-026,10.1002/pam.22073,Journal of Policy Analysis and Management,ECONOMISM IS NOT ENOUGH,www.doi.org/10.1002/pam.22073
dataset-026,10.1016/j.jneb.2018.10.004,Journal of Nutrition Education and Behavior,Development and Testing of the Healthy Food Pantry Assessment Tool,www.doi.org/10.1016/j.jneb.2018.10.004
dataset-026,10.1542/peds.2013-0597,Pediatrics,Diaper Need and Its Impact on Child Health,www.doi.org/10.1542/peds.2013-0597
dataset-026,10.3390/children6020031,Children,Tobacco Use as a Health Disparity: What Can Pediatric Clinicians Do?,www.doi.org/10.3390/children6020031
dataset-026,10.3945/ajcn.112.037622,American Journal of Clinical Nutrition,"Food-package assignments and breastfeeding initiation before and after a change in the Special Supplemental Nutrition Program for Women, Infants, and Children",www.doi.org/10.3945/ajcn.112.037622
dataset-026,10.1093/aje/kwv249,American Journal of Epidemiology,"Health Behaviors, Mental Health, and Health Care Utilization Among Single Mothers After Welfare Reforms in the 1990s",www.doi.org/10.1093/aje/kwv249
dataset-026,10.1080/03670244.2019.1598979,Ecology of Food and Nutrition,National Trends in Food Insecurity and Congregation-Based Food Provision between 1998 and 2012,www.doi.org/10.1080/03670244.2019.1598979
dataset-026,10.1007/s10995-013-1281-2,Maternal and Child Health Journal,Securing the Safety Net: Concurrent Participation in Income Eligible Assistance Programs,www.doi.org/10.1007/s10995-013-1281-2
dataset-026,10.1111/1475-6773.12157,Health Services Research,The Effects of Express Lane Eligibility on Medicaid and CHIP Enrollment among Children,www.doi.org/10.1111/1475-6773.12157
dataset-026,10.1111/1475-6773.12241,Health Services Research,Health Care Utilization among Children Enrolled in Medicaid and CHIP via Express Lane Eligibility,www.doi.org/10.1111/1475-6773.12241
dataset-026,10.1016/j.jneb.2016.03.003,Journal of Nutrition Education and Behavior,"Food Shopping Venues, Neighborhood Food Environment, and Body Mass Index Among Guyanese, Black, and White Adults in an Urban Community in the US",www.doi.org/10.1016/j.jneb.2016.03.003
dataset-026,10.1542/peds.2015-3673,Pediatrics,Determinants of Health and Pediatric Primary Care Practices,www.doi.org/10.1542/peds.2015-3673
dataset-026,10.1016/j.jand.2018.04.010,Journal of the Academy of Nutrition and Dietetics,"A Cluster-Randomized Trial of a Mobile Produce Market Program in 12 Communities in North Carolina: Program Development, Methods, and Baseline Characteristics",www.doi.org/10.1016/j.jand.2018.04.010
dataset-026,10.1016/j.amepre.2017.07.015,American Journal of Preventive Medicine,Mothers' Adverse Childhood Experiences and Their Young Children's Development,www.doi.org/10.1016/j.amepre.2017.07.015
dataset-026,10.1007/s13524-018-0719-y,Demography,Beyond the Nuclear Family: Trends in Children Living in Shared Households,www.doi.org/10.1007/s13524-018-0719-y
dataset-026,10.1016/j.ypmed.2017.09.007,Preventive Medicine,Trends in food insecurity among California residents from 2001 to 2011: Inequities at the intersection of immigration status and ethnicity,www.doi.org/10.1016/j.ypmed.2017.09.007
dataset-026,10.1037/ser0000314,Psychological Services,Community-based service requests and utilization among pregnant women incarcerated in jail.,www.doi.org/10.1037/ser0000314
dataset-026,10.1353/hpu.2018.0099,Journal of Health Care for the Poor and Underserved,"""Feastworthy is Something That Gives Us Our Dignity Back:"" Feasibility of A Delivered Prepared Meal Program for Families in Motel-Shelters",www.doi.org/10.1353/hpu.2018.0099
dataset-026,10.1007/s11121-017-0767-3,Prevention Science,Exploring Multilevel Factors for Family Engagement in Home Visiting Across Two National Models,www.doi.org/10.1007/s11121-017-0767-3
dataset-026,10.1016/j.amepre.2016.07.016,American Journal of Preventive Medicine,A Proposal for Improvements in the Supplemental Nutrition Assistance Program,www.doi.org/10.1016/j.amepre.2016.07.016
dataset-026,10.1016/j.ajog.2017.06.010,American Journal of Obstetrics and Gynecology,A randomized trial of motivational interviewing and facilitated contraceptive access to prevent rapid repeat pregnancy among adolescent mothers,www.doi.org/10.1016/j.ajog.2017.06.010
dataset-026,10.1080/03670244.2018.1455673,Ecology of Food and Nutrition,Food insecurity and healthcare decision making among mobile food pantry clients in Tampa Bay,www.doi.org/10.1080/03670244.2018.1455673
dataset-026,10.4278/ajhp.130104-quan-13,American Journal of Health Promotion,Household Food Insecurity and Dietary Intake among Mexican-American Women Participating in Federal Food Assistance Programs,www.doi.org/10.4278/ajhp.130104-quan-13
dataset-026,10.2105/ajph.2017.304247,American Journal of Public Health,Socioeconomic Outcomes of Women Who Receive and Women Who Are Denied Wanted Abortions in the United States,www.doi.org/10.2105/ajph.2017.304247
dataset-026,10.1016/j.dhjo.2015.10.003,Disability and Health Journal,Food security among young adults with disabilities in the United States: Findings from the National Health Interview Survey,www.doi.org/10.1016/j.dhjo.2015.10.003
dataset-026,10.1017/s1368980013000281,Public Health Nutrition,Very low food security in the USA is linked with exposure to violence,www.doi.org/10.1017/s1368980013000281
dataset-026,10.1016/j.ssmph.2018.06.006,SSM - Population Health,Overlapping geographic clusters of food security and health: Where do social determinants and health outcomes converge in the U.S?,www.doi.org/10.1016/j.ssmph.2018.06.006
dataset-026,10.1016/j.childyouth.2017.01.022,Children and Youth Services Review,Young child poverty in the United States: Analyzing trends in poverty and the role of anti-poverty programs using the Supplemental Poverty Measure,www.doi.org/10.1016/j.childyouth.2017.01.022
dataset-026,10.1111/nure.12046,Nutrition Reviews,Aligning nutrition assistance programs with the Dietary Guidelines for Americans,www.doi.org/10.1111/nure.12046
dataset-026,10.1016/j.ssresearch.2018.08.009,Social Science Research,Exploring the relationship between welfare participation in childhood and depression in adulthood in the United States,www.doi.org/10.1016/j.ssresearch.2018.08.009
dataset-026,10.1037/dev0000101,Developmental Psychology,The Selection of Children From Low-Income Families into Preschool.,www.doi.org/10.1037/dev0000101
dataset-026,10.1080/19320248.2016.1175399,Journal of Hunger & Environmental Nutrition,Veggie Van Pilot Study: Impact of a Mobile Produce Market for Underserved Communities on Fruit and Vegetable Access and Intake,www.doi.org/10.1080/19320248.2016.1175399
dataset-026,10.1007/s13524-016-0485-7,Demography,Progress on Poverty? New Estimates of Historical Trends Using an Anchored Supplemental Poverty Measure,www.doi.org/10.1007/s13524-016-0485-7
dataset-026,10.1007/s10995-017-2317-9,Maternal and Child Health Journal,"Health, Social, and Economic Outcomes Experienced by Families as a Result of Receiving Assistance from a Community-Based Diaper Bank",www.doi.org/10.1007/s10995-017-2317-9
dataset-026,10.3945/jn.115.214486,Journal of Nutrition,Children Receiving Free or Reduced-Price School Lunch Have Higher Food Insufficiency Rates in Summer,www.doi.org/10.3945/jn.115.214486
dataset-026,10.1016/j.amepre.2015.09.024,American Journal of Preventive Medicine,Childhood Adversity and Adult Reports of Food Insecurity Among Households With Children,www.doi.org/10.1016/j.amepre.2015.09.024
dataset-026,10.1016/j.acap.2016.01.004,Academic Pediatrics,Redesigning Health Care Practices to Address Childhood Poverty,www.doi.org/10.1016/j.acap.2016.01.004
dataset-026,10.3945/an.112.003228,Advances in Nutrition,Are Food Insecurity Health Impacts Underestimated in the U.S. Population? Marginal Food Security Also Predicts Adverse Health Outcomes in Young U.S. Children and Mothers,www.doi.org/10.3945/an.112.003228
dataset-026,10.1007/s10964-016-0624-x,Journal of Youth and Adolescence,Means-Tested Public Assistance Programs and Adolescent Political Socialization,www.doi.org/10.1007/s10964-016-0624-x
dataset-026,10.1002/9781119362517.index,A Practical Guide to Analytics for Governments,,www.doi.org/10.1002/9781119362517.index
dataset-026,10.4278/ajhp.140725-quan-366,American Journal of Health Promotion,Early Childhood Disadvantage for Sons of Mexican Immigrants,www.doi.org/10.4278/ajhp.140725-quan-366
dataset-026,10.1016/j.acap.2011.05.004,Academic Pediatrics,Reporting on Continuity of Coverage for Children in Medicaid and CHIP: What States Can Learn from Monitoring Continuity and Duration of Coverage,www.doi.org/10.1016/j.acap.2011.05.004
dataset-026,10.1542/peds.2016-0339,Pediatrics,Poverty and Child Health in the United States,www.doi.org/10.1542/peds.2016-0339
dataset-026,10.1017/s1368980017000258,Public Health Nutrition,Lunch at the library: examination of a community-based approach to addressing summer food insecurity,www.doi.org/10.1017/s1368980017000258
dataset-026,10.1515/bejeap-2013-0083,The B E Journal of Economic Analysis & Policy,Food Insecurity and SNAP Participation in Mexican Immigrant Families: The Impact of the Outreach Initiative,www.doi.org/10.1515/bejeap-2013-0083
dataset-026,10.1007/s13524-012-0115-y,Demography,The Effects of Childhood SNAP Use and Neighborhood Conditions on Adult Body Mass Index,www.doi.org/10.1007/s13524-012-0115-y
dataset-026,10.1001/archpediatrics.2009.199,JAMA Pediatrics,Children of the Recession,www.doi.org/10.1001/archpediatrics.2009.199
dataset-026,10.1371/journal.pone.0111894,PLoS ONE,Nowcasting and Forecasting the Monthly Food Stamps Data in the US Using Online Search Data,www.doi.org/10.1371/journal.pone.0111894
dataset-026,10.1002/pam.21880,Journal of Policy Analysis and Management,FROM WELFARE TO A WORK-BASED SAFETY NET: AN INCOMPLETE TRANSITION,www.doi.org/10.1002/pam.21880
dataset-026,10.1111/joca.12163,Journal of Consumer Affairs,The Relationship between the School Breakfast Program and Food Insecurity,www.doi.org/10.1111/joca.12163
dataset-026,10.1177/0094306117734857,Contemporary Sociology A Journal of Reviews,Why Sociologists Matter in the Welfare Reform Debate*,www.doi.org/10.1177/0094306117734857
dataset-026,10.1016/j.acap.2016.01.008,Academic Pediatrics,Boosting Low-Income Children's Opportunities to Succeed Through Direct Income Support,www.doi.org/10.1016/j.acap.2016.01.008
dataset-026,10.1007/s40471-014-0013-5,Current Epidemiology Reports,Do Social and Economic Policies Influence Health? A Review,www.doi.org/10.1007/s40471-014-0013-5
dataset-026,10.1080/01634372.2018.1454566,Journal of Gerontological Social Work,"Housing needs of grandparent caregivers: grandparent, youth, and professional perspectives",www.doi.org/10.1080/01634372.2018.1454566
dataset-026,10.1007/s10508-014-0320-4,Archives of Sexual Behavior,Female Economic Dependence and the Morality of Promiscuity,www.doi.org/10.1007/s10508-014-0320-4
dataset-026,10.1370/afm.2134,The Annals of Family Medicine,Using State Administrative Data to Identify Social Complexity Risk Factors for Children,www.doi.org/10.1370/afm.2134
dataset-026,10.1080/13557858.2016.1263286,Ethnicity and Health,Severity of household food insecurity and lifetime racial discrimination among African-American households in South Carolina,www.doi.org/10.1080/13557858.2016.1263286
dataset-026,10.1017/s1368980015001603,Public Health Nutrition,Unemployment and household food hardship in the economic recession,www.doi.org/10.1017/s1368980015001603
dataset-026,10.1080/19320248.2012.651386,Journal of Hunger & Environmental Nutrition,Attitudes Toward Fruit and Vegetable Consumption and Farmers' Market Usage Among Low-Income North Carolinians,www.doi.org/10.1080/19320248.2012.651386
dataset-026,10.1007/s10900-015-0111-4,Journal of Community Health,Social and Environmental Determinants of Child Physical Activity in a Rural Mexican-Origin Community,www.doi.org/10.1007/s10900-015-0111-4
dataset-026,10.1542/peds.2013-1021h,Pediatrics,Components Associated With Home Visiting Program Outcomes: A Meta-analysis,www.doi.org/10.1542/peds.2013-1021h
dataset-026,10.1002/hec.1714,Health Economics,The impact of long-term participation in the supplemental nutrition assistance program on child obesity,www.doi.org/10.1002/hec.1714
dataset-026,10.3389/fpsyg.2018.00759,Frontiers in Psychology,Parent Involvement in the Getting Ready for School Intervention Is Associated With Changes in School Readiness Skills,www.doi.org/10.3389/fpsyg.2018.00759
