dataset,dataset_string,dataset_title,doi,journal,title,url
dataset-370,SESTAT,Survey of Earned Doctorates,10.1016/j.jbvi.2019.e00131,Journal of Business Venturing Insights,Are transitions to self-employment beneficial?,www.doi.org/10.1016/j.jbvi.2019.e00131
dataset-370,SESTAT,Survey of Earned Doctorates,10.1177/0019793918819809,ILR Review,Academic Entrepreneurship: The Bayh-Dole Act versus the Professorâ€™s Privilege,www.doi.org/10.1177/0019793918819809
dataset-370,SESTAT,Survey of Earned Doctorates,10.1073/pnas.1820079116,Proceedings of the National Academy of Sciences,Why foreign STEM PhDs are unlikely to work for US technology startups,www.doi.org/10.1073/pnas.1820079116
dataset-370,SESTAT,Survey of Earned Doctorates,10.1093/scipol/scz039,Science and Public Policy,"Investigating the US biomedical workforce: gender, field of training, and retention",www.doi.org/10.1093/scipol/scz039
dataset-370,SESTAT,Survey of Earned Doctorates,10.1080/17421772.2019.1636127,Spatial Economic Analysis,"On the nexus between innovation, productivity and migration of US university graduates",www.doi.org/10.1080/17421772.2019.1636127
dataset-370,SESTAT,Survey of Earned Doctorates,10.1002/jee.20284,Journal of Engineering Education,Investigation of an equity ethic in engineering and computing doctoral students,www.doi.org/10.1002/jee.20284
dataset-370,SESTAT,Survey of Earned Doctorates,10.1177/0091552119850321,Community College Review,A National Study of the Influence of the Community College Pathway on Female Studentsâ€™ STEM Baccalaureate Success,www.doi.org/10.1177/0091552119850321
dataset-370,SESTAT,Survey of Earned Doctorates,10.1007/s00181-019-01721-5,Empirical Economics,The impact of the H-1B cap exemption on Ph.D. labor markets,www.doi.org/10.1007/s00181-019-01721-5
dataset-370,SESTAT,Survey of Earned Doctorates,10.1080/17477778.2019.1620650,Journal of Simulation,Simulation of the leaky pipeline: Gender diversity in U.S. K-graduate education,www.doi.org/10.1080/17477778.2019.1620650
dataset-370,SESTAT,Survey of Earned Doctorates,10.1016/j.respol.2019.01.005,Research Policy,Does scientist immigration harm US science? An examination of the knowledge spillover channel,www.doi.org/10.1016/j.respol.2019.01.005
dataset-370,SESTAT,Survey of Earned Doctorates,10.1073/pnas.1810862116,Proceedings of the National Academy of Sciences,The changing career trajectories of new parents in STEM,www.doi.org/10.1073/pnas.1810862116
dataset-370,SESTAT,Survey of Earned Doctorates,10.1177/1523422318814550,Advances in Developing Human Resources,The Socialization of STEM Professionals Into STEM Careers: A Study of Newly Hired Engineers,www.doi.org/10.1177/1523422318814550
dataset-370,SESTAT,Survey of Earned Doctorates,10.1016/j.respol.2018.08.004,Research Policy,National health innovation systems: Clustering the OECD countries by innovative output in healthcare using a multi indicator approach,www.doi.org/10.1016/j.respol.2018.08.004
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1080/03075079.2019.1672648,Studies in Higher Education,Does employment during doctoral training reduce the PhD completion rate?,www.doi.org/10.1080/03075079.2019.1672648
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1080/09645292.2019.1623177,Education Economics,Are high-quality PhD programs at universities associated with more undergraduate students pursuing PhD study?,www.doi.org/10.1080/09645292.2019.1623177
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1002/he.20332,New Directions for Higher Education,"Rationale for Cocreating a Community for Underrepresented Minorities in Science, Technology, Engineering, and Math: An Indigenous Paradigm",www.doi.org/10.1002/he.20332
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1002/he.20337,New Directions for Higher Education,"Designing and Implementing an Indigenous Mentoring Program for Faculty Who Mentor AI/AN Students in STEM Fields: Process, Outcomes, and Lessons Learned",www.doi.org/10.1002/he.20337
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1002/he.20331,New Directions for Higher Education,Editorsâ€™ Notes,www.doi.org/10.1002/he.20331
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1080/10437797.2019.1656576,Journal of Social Work Education,BPD Emerging Leaders 2010â€“2016: Identifying and Responding to the Need for New Academic Leadership,www.doi.org/10.1080/10437797.2019.1656576
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1007/s11162-019-09573-9,Research in Higher Education,"Tenure and Promotion Outcomes at Four Large Land Grant Universities: Examining the Role of Gender, Race, and Academic Discipline",www.doi.org/10.1007/s11162-019-09573-9
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.5860/crln.64.1.70,College & Research Libraries News,Fast Facts,www.doi.org/10.5860/crln.64.1.70
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.5860/crln.63.10.718,College & Research Libraries News,"NEW REALITIES, NEW RELATIONSHIPS: The double life of the college campus: Striking a balance between reality and expectations",www.doi.org/10.5860/crln.63.10.718
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1111/emip.12284,Educational Measurement Issues and Practice,An Analysis of College Choice Information Provided on Graduate Program Websites: Implications for Improving Applicant Diversity in Educational Measurement,www.doi.org/10.1111/emip.12284
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1007/s12108-019-09421-4,The American Sociologist,"Academic Familism, Spillover Prestige and Gender Segregation in Sociology Subfields: The Trajectory of Economic Sociology",www.doi.org/10.1007/s12108-019-09421-4
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1080/07481756.2018.1547619,Measurement and Evaluation in Counseling and Development,Doctoral Student Perfectionism and Emotional Well-Being,www.doi.org/10.1080/07481756.2018.1547619
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1525/lavc.2019.130006b,Latin American and Latinx Visual Culture,The Hidden Costs of a Life of the Mind,www.doi.org/10.1525/lavc.2019.130006b
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1111/ecin.12762,Economic Inquiry,YOUNG â€œSTARSâ€ IN ECONOMICS: WHAT THEY DO AND WHERE THEY GO,www.doi.org/10.1111/ecin.12762
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1016/j.profnurs.2019.07.003,Journal of Professional Nursing,National Institute of Health (NIH) funding patterns in Schools of Nursing: Who is funding nursing science research and who is conducting research at Schools of Nursing?,www.doi.org/10.1016/j.profnurs.2019.07.003
dataset-370,Survey of Earned Doctorates,Survey of Earned Doctorates,10.1016/j.respol.2019.03.001,Research Policy,Federal funding of doctoral recipients: What can be learned from linked data,www.doi.org/10.1016/j.respol.2019.03.001
dataset-370,N/A,Survey of Earned Doctorates,10.1016/j.respol.2016.03.011,Research Policy,Training the scientific workforce: Does funding mechanism matter?,https://www.sciencedirect.com/science/article/pii/S004873331630035X
dataset-370,N/A,Survey of Earned Doctorates,10.1016/j.soscij.2015.01.004,The Social Justice Journal,Defining diversity: A mixed-method analysis of terminology in faculty applications,https://www.sciencedirect.com/science/article/pii/S0362331915000233
dataset-370,N/A,Survey of Earned Doctorates,10.1353/rhe.2019.0093,The Review of Higher Education,What's Money Got to Do with It?,https://muse.jhu.edu/article/733638
dataset-370,N/A,Survey of Earned Doctorates,10.1037/amp0000288,American Psychologist,The Trade-Offs of Teamwork Among STEM Doctoral Graduates,https://psycnet.apa.org/fulltext/2018-23205-010.html
dataset-370,N/A,Survey of Earned Doctorates,10.1177/0033354918754558,Public Health Reports,"Interdisciplinary Dissertation Research Among Public Health Doctoral Trainees, 2003-2015",https://journals.sagepub.com/doi/10.1177/0033354918754558
dataset-370,N/A,Survey of Earned Doctorates,10.1371/journal.pone.0190606,PLOS One,Survey of checkpoints along the pathway to diverse biomedical research faculty,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0190606
dataset-370,N/A,Survey of Earned Doctorates,10.1093/sw/54.1.71,Social Work,Doctoral Education in Social Work: What We Know and What We Need to Know,https://academic.oup.com/sw/article/54/1/71/1884745
dataset-370,N/A,Survey of Earned Doctorates,10.1097/00001888-199709000-00020,Academic Medicine,Profile of the graduate student population in U.S. medical schools.,https://journals.lww.com/academicmedicine/pages/articleviewer.aspx?year=1997&issue=09000&article=00020&type=abstract
dataset-370,N/A,Survey of Earned Doctorates,10.1086/498997,American Journal of Education,Who’s Teaching the Teachers? Evidence from the National Survey of Postsecondary Faculty and the Survey of Earned Doctorates,https://www.journals.uchicago.edu/doi/full/10.1086/498997
dataset-370,N/A,Survey of Earned Doctorates,10.1145/543812.543841,Special Interest Group on Computer Science Education,Female computer science doctorates: what does the survey of earned doctorates reveal?,https://dl.acm.org/citation.cfm?id=543841
dataset-370,N/A,Survey of Earned Doctorates,10.1371/journal.pone.0154741,PLOS One,Stability and Longevity in the Publication Careers of U.S. Doctorate Recipients,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4851373/
dataset-370,N/A,Survey of Earned Doctorates,10.2172/971617,U.S. Department of Energy Office of Scientific and Technical Information,"Stay Rates of Foreign Doctorate Recipients from U.S. Universities, 2007",https://www.osti.gov/biblio/971617
dataset-370,N/A,Survey of Earned Doctorates,10.1080/19477503.2017.1375356,Investigations in Mathematics Learning,Issues of validity in reporting the number of doctorates in mathematics education,https://www.tandfonline.com/doi/full/10.1080/19477503.2017.1375356
dataset-370,N/A,Survey of Earned Doctorates,10.1096/fj.14-264358,Life Sciences Forum,Size and characteristics of the biomedical research workforce associated with U.S. National Institutes of Health extramural grants,https://www.fasebj.org/doi/full/10.1096/fj.14-264358
dataset-370,N/A,Survey of Earned Doctorates,10.1007/s11192-012-0893-4,Scientometrics,"Disparities in publication patterns by gender, race and ethnicity based on a survey of a random sample of authors",https://link.springer.com/article/10.1007/s11192-012-0893-4
dataset-370,N/A,Survey of Earned Doctorates,10.2105/AJPH.2018.304553,American Journal of Public Health,"Employment Trends Among Public Health Doctoral Recipients, 2003–2015",https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2018.304553
dataset-370,N/A,Survey of Earned Doctorates,10.1097/ACM.0b013e31826d726b,Journal of the Association of American Medical Colleges,"Are Race, Ethnicity, and Medical School Affiliation Associated With NIH R01 Type Award Probability for Physician Investigators?",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3485449/
dataset-370,N/A,Survey of Earned Doctorates,10.1016/j.respol.2014.12.013,Research Policy,"New linked data on research investments: Scientific workforce, productivity, and public value",https://www.sciencedirect.com/science/article/pii/S0048733315000025
dataset-370,N/A,Survey of Earned Doctorates,10.3386/w11457,Innovation Policy and the Economy,Does Globalization of the Scientific/Engineering Workforce Threaten U.S. Economic Leadership?,https://www.nber.org/papers/w11457
dataset-370,N/A,Survey of Earned Doctorates,10.3386/w12085,Journal of Human Resources,Immigration in High-Skill Labor Markets: The Impact of Foreign Students on the Earnings of Doctorates,https://www.nber.org/papers/w12085
dataset-370,N/A,Survey of Earned Doctorates,10.1007/s10961-018-9659-3,The Journal of Technology Transfer,A conceptual framework for studying science research careers,www.doi.org/10.1007/s10961-018-9659-3
dataset-370,N/A,Survey of Earned Doctorates,10.1177/0034644619880562,The Review of Black Political Economy,African Americans in Economics at the University of Michigan-Ann Arbor Since the Kerner Commission Report of 1968,www.doi.org/10.1177/0034644619880562
dataset-370,N/A,Survey of Earned Doctorates,10.1525/collabra.274,Collabra Psychology,Rationality is Gendered,www.doi.org/10.1525/collabra.274
dataset-370,N/A,Survey of Earned Doctorates,10.1007/s11162-019-09584-6,Research in Higher Education,University and Department Influences on Scientistsâ€™ Occupational Outcomes,www.doi.org/10.1007/s11162-019-09584-6
dataset-370,N/A,Survey of Earned Doctorates,10.1007/s10755-019-9469-z,Innovative Higher Education,"Exit, Voice, Loyalty: Using an Exit Phone Interview to Mitigate the Silent Departure Phenomenon",www.doi.org/10.1007/s10755-019-9469-z
