dataset ,dataset_string,dataset_title,doi,journal,title,url
dataset-426,USPTO,USPTO PatentsView,10.1016/j.eswa.2019.112995,Expert Systems with Applications,TechNet: Technology Semantic Network Based on Patent Data,www.doi.org/10.1016/j.eswa.2019.112995
dataset-426,USPTO,USPTO PatentsView,10.1016/j.ijheatmasstransfer.2019.118821,International Journal of Heat and Mass Transfer,Numerical modelling of radiation absorption in a novel multi-stage free-falling particle receiver,www.doi.org/10.1016/j.ijheatmasstransfer.2019.118821
dataset-426,USPTO,USPTO PatentsView,10.1016/j.jep.2019.112250,Journal of Ethnopharmacology,"Neopicrorhiza scrophulariiflora (Pennell) Hong: A comprehensive review of its traditional uses, phytochemistry, pharmacology and safety",www.doi.org/10.1016/j.jep.2019.112250
dataset-426,USPTO,USPTO PatentsView,10.1016/j.jbusres.2019.08.040,Journal of Business Research,"Does geographic distance to partners affect firm R&D spending? The moderating roles of individuals, firms, and countries",www.doi.org/10.1016/j.jbusres.2019.08.040
dataset-426,USPTO,USPTO PatentsView,10.1016/j.jclepro.2019.118185,Journal of Cleaner Production,Adopting hydrogen direct reduction for the Swedish steel industry: A technological innovation system (TIS) study,www.doi.org/10.1016/j.jclepro.2019.118185
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1016/j.evalprogplan.2019.101710,Evaluation and Program Planning,"Using Database Linkages to Measure Innovation, Commercialization, and Survival of Small Businesses",www.doi.org/10.1016/j.evalprogplan.2019.101710
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1016/j.enpol.2019.110942,Energy Policy,Analysing energy innovation portfolios from a systemic perspective,www.doi.org/10.1016/j.enpol.2019.110942
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1007/s10734-019-00363-x,Higher Education,Dynamics of higher education research collaboration and regional integration in Northeast Asia: a study of the A3 Foresight Program,www.doi.org/10.1007/s10734-019-00363-x
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1016/j.esr.2019.04.012,Energy Strategy Reviews,Analysing future change in the EU's energy innovation system,www.doi.org/10.1016/j.esr.2019.04.012
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1002/smj.2977,Strategic Management Journal,The ethnic migrant inventor effect: Codification and recombination of knowledge across borders,www.doi.org/10.1002/smj.2977
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1016/j.wpi.2018.08.005,World Patent Information,Patenting activity in the food safety sector,www.doi.org/10.1016/j.wpi.2018.08.005
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1016/j.joi.2018.10.002,Journal of Informetrics,Patent citation spectroscopy (PCS): Online retrieval of landmark patents based on an algorithmic approach,www.doi.org/10.1016/j.joi.2018.10.002
dataset-426,USPTO PatentsView,USPTO PatentsView,10.5530/jscires.7.2.13,Journal of Scientometric Research,Data-Mining the Foundational Patents of Photovoltaic Materials: An Application of Patent Citation Spectroscopy,www.doi.org/10.5530/jscires.7.2.13
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1111/jems.12260,Journal of Economics & Management Strategy,Business dynamics of innovating firms: Linking U.S. patents with administrative data on workers and firms,www.doi.org/10.1111/jems.12260
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1016/j.respol.2017.12.006,Research Policy,‚ÄúA tie is a tie? Gender and network positioning in life science inventor collaboration‚Äù,www.doi.org/10.1016/j.respol.2017.12.006
dataset-426,USPTO PatentsView,USPTO PatentsView,10.1016/j.respol.2017.10.015,Research Policy,Inventing by combining pre-existing technologies: Patent evidence on learning and fishing out,www.doi.org/10.1016/j.respol.2017.10.015
dataset-426,USPTO PatentsView,USPTO PatentsView,10.2139/ssrn.2987588,SSRN Electronic Journal,Estimating Technology Performance Improvement Rates by Mining Patent Data,www.doi.org/10.2139/ssrn.2987588
dataset-426,USPTO PatentsView,USPTO PatentsView,10.2139/ssrn.3024621,SSRN Electronic Journal,USPTO Patent Prosecution Research Data: Unlocking Office Action Traits,www.doi.org/10.2139/ssrn.3024621
dataset-426,N/A,USPTO PatentsView,10.1007/s11192-017-2449-0,Scientometrics,"Mapping patent classifications: portfolio and statistical analysis, and the comparison of strengths and weaknesses",https://link.springer.com/article/10.1007/s11192-017-2449-0
dataset-426,N/A,USPTO PatentsView,10.1080/08963568.2017.1372014,Journal of Business and Finance Librarianship,Due diligence: Recognizing the role of patent research in the start-up life cycle,https://www.tandfonline.com/doi/full/10.1080/08963568.2017.1372014 
dataset-426,N/A,USPTO PatentsView,10.2139/ssrn.3157983,Santa Clara University School of Law,"Inequality, Innovation, and Patents",https://www.law.nyu.edu/sites/default/files/upload_documents/Colleen%20Chien.pdf
dataset-426,N/A,USPTO PatentsView,10.1016/j.techfore.2018.11.006,Technological Forecasting and Social Change,Discovering business diversification opportunities using patent information and open innovation cases,https://www.sciencedirect.com/science/article/pii/S0040162518307650
dataset-426,N/A,USPTO PatentsView,10.1017/S0022109018001564,Journal of Financial and Quantitative Analysis,The Real Effect of Smoking Bans: Evidence from Corporate Innovation,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/8C7BBF3C965CB2C279B010BC541BDBA5/S0022109018001564a.pdf/real_effect_of_smoking_bans_evidence_from_corporate_innovation.pdf
dataset-426,N/A,USPTO PatentsView,10.1080/10438599.2019.1648014,Economics of Innovation and New Technology,Tracking the technological composition of industries with algorithmic patent concordances*,https://www.tandfonline.com/doi/full/10.1080/10438599.2019.1648014
dataset-426,N/A,USPTO PatentsView,10.1007/s11135-019-00874-w,Quality & Quantity,Mapping high R&D city-regions worldwide: a patent heat map approach,https://link.springer.com/article/10.1007/s11135-019-00874-w
dataset-426,N/A,USPTO PatentsView,10.7298/06n5-kh88,Cornell Theses and Dissertations,Does Venture Capital Accelerate the Inventive Activities of Frontier Technologies? New Evidence from Artificial Intelligence,https://ecommons.cornell.edu/handle/1813/67627
dataset-426,N/A,USPTO PatentsView,10.1136/bmj.l5766†,The BMJ,Public sector financial support for late stage discovery of new drugs in the United States: cohort study,https://www.bmj.com/content/367/bmj.l5766
dataset-426,N/A,USPTO PatentsView,10.1016/B978-0-12-815253-9.00001-X,Design and Operation of Solid Oxide Fuel Cells,Chapter 1†-†Technological change in fuel cell technologies,https://www.sciencedirect.com/science/article/pii/B978012815253900001X
