ISSN,datasets,doi,journal,title,url
2052-4463,dataset-623,10.1038/s41597-019-0333-x,Scientific data,An extreme sea level indicator for the contiguous United States coastline.,https://doi.org/10.1038/s41597-019-0333-x
2375-2548,dataset-623,10.1126/sciadv.aaw9883,Science advances,The polar regions in a 2°C warmer world.,https://doi.org/10.1126/sciadv.aaw9883
2041-1723,dataset-623,10.1038/s41467-019-13552-0,Nature communications,Author Correction: New elevation data triple estimates of global vulnerability to sea-level rise and coastal flooding.,https://doi.org/10.1038/s41467-019-13552-0
2045-2322,dataset-623,10.1038/s41598-019-54239-2,Scientific reports,"Global ocean freshening, ocean mass increase and global mean sea level rise over 2005-2015.",https://doi.org/10.1038/s41598-019-54239-2
1932-6203,dataset-623,10.1371/journal.pone.0225048,PloS one,Cold-related Florida manatee mortality in relation to air and water temperatures.,https://doi.org/10.1371/journal.pone.0225048
2041-1723,dataset-623,10.1038/s41467-019-12874-3,Nature communications,Asynchronous Antarctic and Greenland ice-volume contributions to the last interglacial sea-level highstand.,https://doi.org/10.1038/s41467-019-12874-3
1424-8220,dataset-623,,"Sensors (Basel, Switzerland)",Prediction of Sea Level Nonlinear Trends around Shandong Peninsula from Satellite Altimetry.,
2375-2548,dataset-623,10.1126/sciadv.aaw5980,Science advances,Lake sediments with Azorean tephra reveal ice-free conditions on coastal northwest Spitsbergen during the Last Glacial Maximum.,https://doi.org/10.1126/sciadv.aaw5980
1879-1026,dataset-623,,The Science of the total environment,The adaptation towards climate change impacts among islanders in Malaysia.,
1095-8630,dataset-623,,Journal of environmental management,Managed retreat for climate change adaptation in coastal megacities: A comparison of policy and practice in Manila and Vancouver.,
2352-3409,dataset-623,10.1016/j.dib.2019.104600,Data in brief,Relative sea-level data from the SEAMIS database compared to ICE-5G model predictions of glacial isostatic adjustment.,https://doi.org/10.1016/j.dib.2019.104600
2352-3409,dataset-623,10.1016/j.dib.2019.104585,Data in brief,Dataset of global extreme climatic indices due to an acceleration of ice sheet melting during the 21st century.,https://doi.org/10.1016/j.dib.2019.104585
2041-1723,dataset-623,10.1038/s41467-019-12808-z,Nature communications,New elevation data triple estimates of global vulnerability to sea-level rise and coastal flooding.,https://doi.org/10.1038/s41467-019-12808-z
1590-3729,dataset-623,,"Nutrition, metabolism, and cardiovascular diseases : NMCD",Does a rise in plasma erythropoietin after high-altitude exposure affect FGF23 in healthy volunteers on a normal or low-phosphorus diet?,
1660-4601,dataset-623,,International journal of environmental research and public health,Improved Estimates of Population Exposure in Low-Elevation Coastal Zones of China.,
2375-2548,dataset-623,10.1126/sciadv.aax2215,Science advances,Troughs developed in ice-stream shear margins precondition ice shelves for ocean-driven breakup.,https://doi.org/10.1126/sciadv.aax2215
1365-2486,dataset-623,10.1111/gcb.14800,Global change biology,Extreme spatial heterogeneity in carbonate accretion potential on a Caribbean fringing reef linked to local human disturbance gradients.,https://doi.org/10.1111/gcb.14800
2223-7747,dataset-623,,"Plants (Basel, Switzerland)",Differential Effects of Increasing Salinity on Germination and Seedling Growth of Native and Exotic Invasive Cordgrasses.,
1476-4687,dataset-623,10.1038/s41586-019-1550-3,Nature,Rapid expansion of Greenland's low-permeability ice slabs.,https://doi.org/10.1038/s41586-019-1550-3
2041-1723,dataset-623,10.1038/s41467-019-11602-1,Nature communications,Mekong delta much lower than previously assumed in sea-level rise impact assessments.,https://doi.org/10.1038/s41467-019-11602-1
1432-1009,dataset-623,10.1007/s00267-019-01198-z,Environmental management,Do the Adaptations of Venice and Miami to Sea Level Rise Offer Lessons for Other Vulnerable Coastal Cities?,https://doi.org/10.1007/s00267-019-01198-z
1932-6203,dataset-623,10.1371/journal.pone.0218558,PloS one,Insights into estuary habitat loss in the western United States using a new method for mapping maximum extent of tidal wetlands.,https://doi.org/10.1371/journal.pone.0218558
1095-8290,dataset-623,,Annals of botany,Seeds of change: characterizing the soil seed bank of a migrating salt marsh.,
2167-8359,dataset-623,10.7717/peerj.7397,PeerJ,262 Voyages Beneath the Sea: a global assessment of macro- and megafaunal biodiversity and research effort at deep-sea hydrothermal vents.,https://doi.org/10.7717/peerj.7397
0169-555X,dataset-623,10.1016/j.geomorph.2018.04.001,"Geomorphology (Amsterdam, Netherlands)","Response of a vulnerable barrier island to multi-year storm impacts: LiDAR-data-inferred morphodynamic changes on Ship Island, Mississippi, USA.",https://doi.org/10.1016/j.geomorph.2018.04.001
1996-1421,dataset-623,10.4102/jamba.v11i1.660,"Jamba (Potchefstroom, South Africa)","Flood risk reduction in the northern coast of Central Java Province, Indonesia: An application of stakeholder's analysis.",https://doi.org/10.4102/jamba.v11i1.660
2045-7758,dataset-623,10.1002/ece3.5215,Ecology and evolution,Feedback of coastal marshes to climate change: Long-term phenological shifts.,https://doi.org/10.1002/ece3.5215
0546-1766,dataset-623,10.11236/jph.66.7_348,[Nihon koshu eisei zasshi] Japanese journal of public health,[Risk perception of tsunamis and the willingness to evacuate of junior high school students living in coastal areas].,https://doi.org/10.11236/jph.66.7_348
1932-6203,dataset-623,10.1371/journal.pone.0218430,PloS one,Redating the earliest evidence of the mid-Holocene relative sea-level highstand in Australia and implications for global sea-level rise.,https://doi.org/10.1371/journal.pone.0218430
1939-9170,dataset-623,10.1002/ecy.2813,Ecology,Pattern and scale: evaluating generalities in crab distributions and marsh dynamics from small plots to a national scale.,https://doi.org/10.1002/ecy.2813
1529-8817,dataset-623,10.1111/jpy.12892,Journal of phycology,Dual influence of terrestrial and marine historical processes on the phylogeography of the Brazilian intertidal red alga Gracilaria caudata.,https://doi.org/10.1111/jpy.12892
2352-3409,dataset-623,10.1016/j.dib.2019.103975,Data in brief,"Residential flood vulnerability along the developed North Carolina, USA coast: High resolution social and physical data for decision support.",https://doi.org/10.1016/j.dib.2019.103975
1365-2656,dataset-623,10.1111/1365-2656.13041,The Journal of animal ecology,Habitat selection can reduce effects of extreme climatic events in a long-lived shorebird.,https://doi.org/10.1111/1365-2656.13041
1879-1026,dataset-623,,The Science of the total environment,Characterization of coastal wetland soil organic matter: Implications for wetland submergence.,
1932-6203,dataset-623,10.1371/journal.pone.0216540,PloS one,Bird community shifts associated with saltwater exposure in coastal forests at the leading edge of rising sea level.,https://doi.org/10.1371/journal.pone.0216540
1471-8391,dataset-623,10.1093/bmb/ldz011,British medical bulletin,Health impact of climate change in cities of middle-income countries: the case of China.,https://doi.org/10.1093/bmb/ldz011
1654-9880,dataset-623,10.1080/16549716.2019.1603683,Global health action,"Climate change, food security and health in Kiribati: a narrative review of the literature.",https://doi.org/10.1080/16549716.2019.1603683
1469-185X,dataset-623,10.1111/brv.12514,Biological reviews of the Cambridge Philosophical Society,A general framework for propagule dispersal in mangroves.,https://doi.org/10.1111/brv.12514
1879-0291,dataset-623,,Marine environmental research,Light limitation selects for depth generalists in urbanised reef coral communities.,
1932-6203,dataset-623,10.1371/journal.pone.0215651,PloS one,Simulating beach and dune evolution at decadal to centennial scale under rising sea levels.,https://doi.org/10.1371/journal.pone.0215651
1095-8630,dataset-623,,Journal of environmental management,Willingness to pay for protection from storm surge damages under climate change in Halifax Regional Municipality.,
1476-4687,dataset-623,10.1038/s41586-019-1071-0,Nature,Global glacier mass changes and their contributions to sea-level rise from 1961 to 2016.,https://doi.org/10.1038/s41586-019-1071-0
1932-6203,dataset-623,10.1371/journal.pone.0213641,PloS one,Vulnerability of the agricultural sector to climate change: The development of a pan-tropical Climate Risk Vulnerability Assessment to inform sub-national decision making.,https://doi.org/10.1371/journal.pone.0213641
1874-7841,dataset-623,10.1007/s11852-018-0605-1,Journal of coastal conservation,Adding to the toolbox for tidal-inundation mapping in estuarine areas.,https://doi.org/10.1007/s11852-018-0605-1
1095-8630,dataset-623,,Journal of environmental management,Spatial Bayesian Network for predicting sea level rise induced coastal erosion in a small Pacific Island.,
2041-1723,dataset-623,10.1038/s41467-019-08842-6,Nature communications,Role of carbonate burial in Blue Carbon budgets.,https://doi.org/10.1038/s41467-019-08842-6
2045-2322,dataset-623,10.1038/s41598-019-38562-2,Scientific reports,Ocean variability and air-sea fluxes produced by atmospheric rivers.,https://doi.org/10.1038/s41598-019-38562-2
1879-1026,dataset-623,,The Science of the total environment,Risk of extreme events in delta environment: A case study of the Mahanadi delta.,
2041-1723,dataset-623,10.1038/s41467-019-08522-5,Nature communications,Direct measurements of ice-shelf flexure caused by surface meltwater ponding and drainage.,https://doi.org/10.1038/s41467-019-08522-5
1879-1026,dataset-623,,The Science of the total environment,Combined effects of climate change and sea-level rise project dramatic habitat loss of the globally endangered Bengal tiger in the Bangladesh Sundarbans.,
1090-2414,dataset-623,,Ecotoxicology and environmental safety,Sensitivity to salinization and acclimation potential of amphibian (Pelophylax perezi) and fish (Lepomis gibbosus) models.,
1091-6490,dataset-623,10.1073/pnas.1812883116,Proceedings of the National Academy of Sciences of the United States of America,Four decades of Antarctic Ice Sheet mass balance from 1979-2017.,https://doi.org/10.1073/pnas.1812883116
1932-6203,dataset-623,10.1371/journal.pone.0210426,PloS one,"Are values related to culture, identity, community cohesion and sense of place the values most vulnerable to climate change?",https://doi.org/10.1371/journal.pone.0210426
1476-4687,dataset-623,10.1038/s41586-018-0805-8,Nature,The global distribution and trajectory of tidal flats.,https://doi.org/10.1038/s41586-018-0805-8
1476-4687,dataset-623,10.1038/s41586-018-0787-6,Nature,Origin of spatial variation in US East Coast sea-level trends during 1900-2017.,https://doi.org/10.1038/s41586-018-0787-6
1365-2486,dataset-623,10.1111/gcb.14520,Global change biology,Climate change resilience of a globally important sea turtle nesting population.,https://doi.org/10.1111/gcb.14520
0167-5923,dataset-623,10.1007/s11113-018-9473-5,Population research and policy review,"Estimating Recent Local Impacts of Sea-Level Rise on Current Real-Estate Losses: A Housing Market Case Study in Miami-Dade, Florida.",https://doi.org/10.1007/s11113-018-9473-5
2150-8925,dataset-623,10.1002/ecs2.2329,"Ecosphere (Washington, D.C)",Discontinuities in soil strength contribute to destabilization of nutrient-enriched creeks.,https://doi.org/10.1002/ecs2.2329
1879-1514,dataset-623,,"Aquatic toxicology (Amsterdam, Netherlands)","Mesohaline conditions represent the threshold for oxidative stress, cell death and toxin release in the cyanobacterium Microcystis aeruginosa.",
1476-4687,dataset-623,10.1038/s41586-018-0687-9,Nature,Twentieth-century contribution to sea-level rise from uncharted glaciers.,https://doi.org/10.1038/s41586-018-0687-9
1879-1026,dataset-623,,The Science of the total environment,"Impacts of rising temperature, carbon dioxide concentration and sea level on wheat production in North Nile delta.",
1932-6203,dataset-623,10.1371/journal.pone.0207805,PloS one,"The impact of environmental change on Palaeolithic and Mesolithic plant use and the transition to agriculture at Franchthi Cave, Greece.",https://doi.org/10.1371/journal.pone.0207805
1476-4687,dataset-623,10.1038/s41586-018-0712-z,Nature,Change in future climate due to Antarctic meltwater.,https://doi.org/10.1038/s41586-018-0712-z
1932-6203,dataset-623,10.1371/journal.pone.0207270,PloS one,New perspectives in the study of the Earth's magnetic field and climate connection: The use of transfer entropy.,https://doi.org/10.1371/journal.pone.0207270
1365-2486,dataset-623,10.1111/gcb.14526,Global change biology,"Assessing climate change associated sea-level rise impacts on sea turtle nesting beaches using drones, photogrammetry and a novel GPS system.",https://doi.org/10.1111/gcb.14526
1476-4687,dataset-623,10.1038/s41586-018-0651-8,Nature,"{'sub': ['2', '2'], '#text': 'Quantification of ocean heat uptake from changes in atmospheric O and CO composition.'}",https://doi.org/10.1038/s41586-018-0651-8
1365-2486,dataset-623,10.1111/gcb.14429,Global change biology,Evaluating regional resiliency of coastal wetlands to sea level rise through hypsometry-based modeling.,https://doi.org/10.1111/gcb.14429
2167-8359,dataset-623,10.7717/peerj.5786,PeerJ,Impact of rising sea levels on Australian fur seals.,https://doi.org/10.7717/peerj.5786
1879-1026,dataset-623,,The Science of the total environment,The socioeconomic future of deltas in a changing environment.,
2041-1723,dataset-623,10.1038/s41467-018-06645-9,Nature communications,Mediterranean UNESCO World Heritage at risk from coastal flooding and erosion due to sea-level rise.,https://doi.org/10.1038/s41467-018-06645-9
2045-2322,dataset-623,10.1038/s41598-018-33182-8,Scientific reports,Carbon stocks and accumulation rates in Red Sea seagrass meadows.,https://doi.org/10.1038/s41598-018-33182-8
1879-1026,dataset-623,,The Science of the total environment,"Climate change in Malaysia: Trends, contributors, impacts, mitigation and adaptations.",
1476-4687,dataset-623,10.1038/s41586-018-0501-8,Nature,Ice loss from the East Antarctic Ice Sheet during late Pleistocene interglacials.,https://doi.org/10.1038/s41586-018-0501-8
1749-6632,dataset-623,10.1111/nyas.13917,Annals of the New York Academy of Sciences,Pathways to resilience: adapting to sea level rise in Los Angeles.,https://doi.org/10.1111/nyas.13917
1614-7499,dataset-623,10.1007/s11356-018-3035-6,Environmental science and pollution research international,Future intensification of summer hypoxia in the tidal Garonne River (SW France) simulated by a coupled hydro sedimentary-biogeochemical model.,https://doi.org/10.1007/s11356-018-3035-6
1476-4687,dataset-623,10.1038/s41586-018-0476-5,Nature,Future response of global coastal wetlands to sea-level rise.,https://doi.org/10.1038/s41586-018-0476-5
2045-2322,dataset-623,10.1038/s41598-018-31972-8,Scientific reports,Global sea level change signatures observed by GRACE satellite gravimetry.,https://doi.org/10.1038/s41598-018-31972-8
1932-6203,dataset-623,10.1371/journal.pone.0200368,PloS one,Evaluating the costs and benefits of marsh-management strategies while accounting for uncertain sea-level rise and ecosystem response.,https://doi.org/10.1371/journal.pone.0200368
1879-1026,dataset-623,,The Science of the total environment,Transient coastal landscapes: Rising sea level threatens salt marshes.,
2041-1723,dataset-623,10.1038/s41467-018-05003-z,Nature communications,The paradigm shift in Antarctic ice sheet modelling.,https://doi.org/10.1038/s41467-018-05003-z
2041-1723,dataset-623,10.1038/s41467-018-05002-0,Nature communications,Hydrology and the future of the Greenland Ice Sheet.,https://doi.org/10.1038/s41467-018-05002-0
1091-6490,dataset-623,10.1073/pnas.1801769115,Proceedings of the National Academy of Sciences of the United States of America,Linear response of east Greenland's tidewater glaciers to ocean/atmosphere warming.,https://doi.org/10.1073/pnas.1801769115
2041-1723,dataset-623,10.1038/s41467-018-05080-0,Nature communications,Predicting marsh vulnerability to sea-level rise using Holocene relative sea-level data.,https://doi.org/10.1038/s41467-018-05080-0
1996-1421,dataset-623,10.4102/jamba.v10i1.356,"Jamba (Potchefstroom, South Africa)",Community resilience to floods in the coastal zone for disaster risk reduction.,https://doi.org/10.4102/jamba.v10i1.356
1545-1534,dataset-623,,Wilderness & environmental medicine,Environmental and Ecological Effects of Climate Change on Venomous Marine and Amphibious Species in the Wilderness.,
1539-6924,dataset-623,10.1111/risa.13127,Risk analysis : an official publication of the Society for Risk Analysis,Pricing Storm Surge Risks in Florida: Implications for Determining Flood Insurance Premiums and Evaluating Mitigation Measures.,https://doi.org/10.1111/risa.13127
2167-8359,dataset-623,10.7717/peerj.4990,PeerJ,"{'i': 'Gallinula galeata sandvicensis', '#text': ""Predicted effects of landscape change, sea level rise, and habitat management on the extirpation risk of the Hawaiian common gallinule () on the island of O'ahu.""}",https://doi.org/10.7717/peerj.4990
0024-3590,dataset-623,10.1002/lno.10783,Limnology and oceanography,Avoiding timescale bias in assessments of coastal wetland vertical change.,https://doi.org/10.1002/lno.10783
1095-9203,dataset-623,10.1126/science.aao1447,"Science (New York, N.Y.)",Observed rapid bedrock uplift in Amundsen Sea Embayment promotes ice-sheet stability.,https://doi.org/10.1126/science.aao1447
1476-4687,dataset-623,10.1038/s41586-018-0194-z,Nature,Loss of coral reef growth capacity to track future increases in sea level.,https://doi.org/10.1038/s41586-018-0194-z
1476-4687,dataset-623,10.1038/s41586-018-0212-1,Nature,Antarctic ice shelf disintegration triggered by sea ice loss and ocean swell.,https://doi.org/10.1038/s41586-018-0212-1
2041-1723,dataset-623,10.1038/s41467-018-04568-z,Nature communications,The global flood protection savings provided by coral reefs.,https://doi.org/10.1038/s41467-018-04568-z
2167-8359,dataset-623,10.7717/peerj.4876,PeerJ,Top-down and bottom-up controls on southern New England salt marsh crab populations.,https://doi.org/10.7717/peerj.4876
0308-521X,dataset-623,10.1016/j.agsy.2016.11.003,Agricultural systems,Can Bangladesh produce enough cereals to meet future demand?,https://doi.org/10.1016/j.agsy.2016.11.003
1879-3363,dataset-623,,Marine pollution bulletin,Sequential webcam monitoring and modeling of marine debris abundance.,
1879-1026,dataset-623,,The Science of the total environment,"Simulating climate change and socio-economic change impacts on flows and water quality in the Mahanadi River system, India.",
1471-2962,dataset-623,,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences","A simplified method to estimate the run-off in Periglacial Creeks: a case study of King George Islands, Antarctic Peninsula.",
1096-0953,dataset-623,,Environmental research,"Habitat risk: Use of intertidal flats by foraging red knots (Calidris canutus rufa), ruddy turnstones, (Arenaria interpres), semipalmated sandpipers (Calidris pusilla), and sanderling (Calidris alba) on Delaware Bay beaches.",
2045-2322,dataset-623,10.1038/s41598-018-25410-y,Scientific reports,A Regional Scale Approach to Assessing Current and Potential Future Exposure to Tidal Inundation in Different Types of Estuaries.,https://doi.org/10.1038/s41598-018-25410-y
1932-6203,dataset-623,10.1371/journal.pone.0194537,PloS one,"Climate change impacts on marine biodiversity, fisheries and society in the Arabian Gulf.",https://doi.org/10.1371/journal.pone.0194537
1879-1026,dataset-623,,The Science of the total environment,"The relative contribution of peat compaction and oxidation to subsidence in built-up areas in the Rhine-Meuse delta, The Netherlands.",
2052-4463,dataset-623,10.1038/sdata.2018.44,Scientific data,A Mediterranean coastal database for assessing the impacts of sea-level rise and associated hazards.,https://doi.org/10.1038/sdata.2018.44
1469-185X,dataset-623,10.1111/brv.12410,Biological reviews of the Cambridge Philosophical Society,Salinity tolerances and use of saline environments by freshwater turtles: implications of sea level rise.,https://doi.org/10.1111/brv.12410
1879-3363,dataset-623,,Marine pollution bulletin,The contaminant legacy from historic coastal landfills and their potential as sources of diffuse pollution.,
2052-4463,dataset-623,10.1038/sdata.2018.34,Scientific data,Damage and protection cost curves for coastal floods within the 600 largest European cities.,https://doi.org/10.1038/sdata.2018.34
1879-1026,dataset-623,,The Science of the total environment,Carbon burial and storage in tropical salt marshes under the influence of sea level rise.,
1476-4687,dataset-623,10.1038/d41586-018-03036-4,Nature,Geoengineer polar glaciers to slow sea-level rise.,https://doi.org/10.1038/d41586-018-03036-4
2375-2548,dataset-623,10.1126/sciadv.aap9234,Science advances,Global climate change and local land subsidence exacerbate inundation risk to the San Francisco Bay Area.,https://doi.org/10.1126/sciadv.aap9234
1424-8220,dataset-623,,"Sensors (Basel, Switzerland)",Using Bi-Seasonal WorldView-2 Multi-Spectral Data and Supervised Random Forest Classification to Map Coastal Plant Communities in Everglades National Park.,
2375-2548,dataset-623,10.1126/sciadv.aao4350,Science advances,Coral reef structural complexity provides important coastal protection from waves under rising sea levels.,https://doi.org/10.1126/sciadv.aao4350
1879-1026,dataset-623,,The Science of the total environment,Worsened physical condition due to climate change contributes to the increasing hypoxia in Chesapeake Bay.,
2572-4525,dataset-623,10.1002/2017PA003240,Paleoceanography and paleoclimatology,Icebergs in the Nordic Seas Throughout the Late Pliocene.,https://doi.org/10.1002/2017PA003240
1091-6490,dataset-623,10.1073/pnas.1717312115,Proceedings of the National Academy of Sciences of the United States of America,Climate-change-driven accelerated sea-level rise detected in the altimeter era.,https://doi.org/10.1073/pnas.1717312115
1939-2192,dataset-623,10.1037/xap0000149,Journal of experimental psychology. Applied,It can become 5 °C warmer: The extremity effect in climate forecasts.,https://doi.org/10.1037/xap0000149
2041-1723,dataset-623,10.1038/s41467-018-02954-1,Nature communications,Patterns of island change and persistence offer alternate adaptation pathways for atoll nations.,https://doi.org/10.1038/s41467-018-02954-1
1095-8630,dataset-623,,Journal of environmental management,Effects of sea-level rise and freshwater management on long-term water levels and water quality in the Florida Coastal Everglades.,
1095-8630,dataset-623,,Journal of environmental management,Coral reefs for coastal protection: A new methodological approach and engineering case study in Grenada.,
2567-689X,dataset-623,10.1160/TH17-02-0138,Thrombosis and haemostasis,Thromboelastometry and Platelet Function during Acclimatization to High Altitude.,https://doi.org/10.1160/TH17-02-0138
0025-3324,dataset-623,10.4031/MTSJ.52.2.7,Marine Technology Society journal,"StormSense: A New Integrated Network of IoT Water Level Sensors in the Smart Cities of Hampton Roads, VA.",https://doi.org/10.4031/MTSJ.52.2.7
2198-6061,dataset-623,10.1007/s40641-018-0107-0,Current climate change reports,Rising Oceans Guaranteed: Arctic Land Ice Loss and Sea Level Rise.,https://doi.org/10.1007/s40641-018-0107-0
1573-2959,dataset-623,10.1007/s10661-017-6426-0,Environmental monitoring and assessment,Shoreline change and potential sea level rise impacts in a climate hazardous location in southeast coast of India.,https://doi.org/10.1007/s10661-017-6426-0
1879-1026,dataset-623,,The Science of the total environment,"High temporal resolution modeling of the impact of rain, tides, and sea level rise on water table flooding in the Arch Creek basin, Miami-Dade County Florida USA.",
0025-3227,dataset-623,10.1016/j.margeo.2017.09.007,Marine geology,ASSESSING CLIMATE CHANGE IMPACTS ON THE STABILITY OF SMALL TIDAL INLETS: Part 2- DATA RICH ENVIRONMENTS.,https://doi.org/10.1016/j.margeo.2017.09.007
1932-6203,dataset-623,10.1371/journal.pone.0188142,PloS one,Sea-level rise and archaeological site destruction: An example from the southeastern United States using DINAA (Digital Index of North American Archaeology).,https://doi.org/10.1371/journal.pone.0188142
2041-1723,dataset-623,10.1038/s41467-017-01597-y,Nature communications,Diverse landscapes beneath Pine Island Glacier influence ice flow.,https://doi.org/10.1038/s41467-017-01597-y
1095-9203,dataset-623,10.1126/science.aan3001,"Science (New York, N.Y.)",Cordilleran Ice Sheet mass loss preceded climate reversals near the Pleistocene Termination.,https://doi.org/10.1126/science.aan3001
1520-5118,dataset-623,10.1021/acs.jafc.7b04201,Journal of agricultural and food chemistry,A Comprehensive Approach to Assess Feathermeal as an Alternative Protein Source in Aquafeed.,https://doi.org/10.1021/acs.jafc.7b04201
2045-2322,dataset-623,10.1038/s41598-017-15309-5,Scientific reports,"Spaceborne Synthetic Aperture Radar Survey of Subsidence in Hampton Roads, Virginia (USA).",https://doi.org/10.1038/s41598-017-15309-5
1879-1026,dataset-623,,The Science of the total environment,Ground air: A first approximation of the Earth's second largest reservoir of carbon dioxide gas.,
1095-8630,dataset-623,,Journal of environmental management,Modeling the Economic Value of Blue Carbon in Delaware Estuary Wetlands: Historic Estimates and Future Projections.,
2041-1723,dataset-623,10.1038/s41467-017-00966-x,Nature communications,Coralgal reef morphology records punctuated sea-level rise during the last deglaciation.,https://doi.org/10.1038/s41467-017-00966-x
1573-2959,dataset-623,10.1007/s10661-017-6282-y,Environmental monitoring and assessment,An uncertainty-based framework to quantifying climate change impacts on coastal flood vulnerability: case study of New York City.,https://doi.org/10.1007/s10661-017-6282-y
2045-7758,dataset-623,10.1002/ece3.3291,Ecology and evolution,Sea level rise may increase extinction risk of a saltmarsh ontogenetic habitat specialist.,https://doi.org/10.1002/ece3.3291
2073-4425,dataset-623,,Genes,The History of Tree and Shrub Taxa on Bol'shoy Lyakhovsky Island (New Siberian Archipelago) since the Last Interglacial Uncovered by Sedimentary Ancient DNA and Pollen Data.,
