publication title,dataset title,dataset id,publication doi,publication url,publication journal
Doctoral student experiences in biological sciences laboratory rotations,Higher Education Research and Development Survey,dataset-428,10.1108/sgpe-02-2019-050,https://www.emerald.com/insight/content/doi/10.1108/sgpe-02-2019-050/full/html,Studies in Graduate and Postdoctoral Education
"The Scientific Research Output of U.S. Research Universities, 1980–2010: Continuing Dispersion, Increasing Concentration, or Stable Inequality?",Higher Education Research and Development Survey,dataset-428,10.1007/s11024-017-9330-4,https://link.springer.com/article/10.1007/s11024-017-9330-4,Minerva
Militarized Universities Endanger Global Public Health,Higher Education Research and Development Survey,dataset-428,10.25148/CRCP.2.1.16092108,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.426.522&rep=rep1&type=pdf,"Class, Race and Corporate Power"
Infrastructure investments and entrepreneurial dynamism in the U.S.,Higher Education Research and Development Survey,dataset-428,10.1016/j.jbusvent.2018.10.005,https://www.sciencedirect.com/science/article/pii/S0883902618300089#bfn0090,Journal of Business Venturing
Research into higher education: an a?theoretical community of practice?,Higher Education Research and Development Survey,dataset-428,10.1080/0729436042000276431,https://www.tandfonline.com/doi/full/10.1080/0729436042000276431,Higher Education Research & Development
Gender differences between faculty members in higher education: A literature review of selected higher education journals,Higher Education Research and Development Survey,dataset-428,10.1016/j.edurev.2016.03.001,https://www.sciencedirect.com/science/article/pii/S1747938X16300124,Educational Research Review
"An empirical study of scientific production: A cross country analysis, 1981–2002",Higher Education Research and Development Survey,dataset-428,10.1016/j.respol.2007.12.007,https://www.sciencedirect.com/science/article/pii/S0048733308000127,Research Policy
Science Funding and Short-Term Economic Activity,Higher Education Research and Development Survey,dataset-428,10.1126/science.1250055,https://science.sciencemag.org/content/344/6179/41.full,Science
